"category","index","accuracy"
"Actual","5772","0"
"Model 10","3153","3"
"Actual","13957","2"
"Model 9","1178","4"
"Actual","14279","1"
"Actual","674","2"
"Actual","10642","4"
"Model 9","10447","4"
"Model 9","8838","2"
"Model 9","4719","3"
"Model 10","12040","2"
"Actual","1429","3"
"Model 10","3011","2"
"Actual","6255","4"
"Model 9","5022","3"
"Model 9","5589","4"
"Model 10","11594","1"
"Model 10","14223","2"
"Model 9","307","1"
"Model 10","222","4"
"Model 9","11397","4"
"Model 10","5238","1"
"Model 9","7890","2"
"Actual","4528","2"
"Model 9","5470","3"
"Model 9","7814","1"
"Model 9","12879","4"
"Actual","14877","3"
"Model 9","13682","4"
"Actual","442","1"
"Model 9","8572","2"
"Actual","12245","2"
"Model 10","5387","2"
"Model 9","10452","4"
"Model 10","5289","4"
"Model 9","9762","4"
"Model 10","5506","4"
"Model 9","13932","2"
"Model 9","3248","4"
"Model 10","7275","1"
"Actual","6908","4"
"Model 9","12846","2"
"Actual","5235","4"
"Actual","3253","4"
"Model 9","10794","2"
"Actual","1054","4"
"Actual","5556","1"
"Model 10","6463","2"
"Actual","5604","2"
"Actual","13952","4"
"Model 9","1073","4"
"Model 9","2769","3"
"Actual","11079","2"
"Actual","857","4"
"Actual","6391","1"
"Actual","9978","4"
"Actual","9391","1"
"Actual","1544","4"
"Actual","9816","2"
"Model 9","8286","2"
"Actual","3257","1"
"Actual","11010","1"
"Model 10","14926","1"
"Model 10","12667","1"
"Model 10","11441","1"
"Model 9","7504","4"
"Actual","9480","2"
"Model 10","7608","1"
"Model 9","527","4"
"Model 10","11875","1"
"Model 9","3357","4"
"Model 10","5982","4"
"Model 9","14742","4"
"Model 10","3180","4"
"Model 10","1094","3"
"Model 9","2787","3"
"Actual","613","4"
"Model 10","2141","3"
"Actual","8072","3"
"Model 9","14100","1"
"Model 9","14690","2"
"Model 10","8775","1"
"Model 9","10009","4"
"Actual","11916","1"
"Model 10","5955","1"
"Actual","1932","2"
"Model 10","2285","2"
"Actual","13655","1"
"Model 10","6008","2"
"Actual","5506","3"
"Actual","3231","1"
"Actual","822","4"
"Model 10","8009","2"
"Actual","14428","2"
"Actual","6414","1"
"Model 10","11266","2"
"Model 9","5411","4"
"Actual","11466","4"
"Actual","11593","1"
"Model 10","5947","4"
"Model 10","12907","3"
"Actual","4405","2"
"Model 10","6895","3"
"Model 9","2347","3"
"Actual","4597","4"
"Actual","1131","2"
"Model 9","4","2"
"Model 10","7773","2"
"Model 9","3814","2"
"Model 9","10529","1"
"Model 9","12908","4"
"Actual","9216","4"
"Model 10","13691","4"
"Model 10","11612","2"
"Model 9","14814","3"
"Actual","10623","3"
"Model 9","2275","4"
"Model 9","2241","4"
"Actual","10557","4"
"Actual","364","4"
"Actual","8491","4"
"Actual","11647","1"
"Actual","10953","2"
"Actual","9791","3"
"Actual","12625","2"
"Actual","5398","2"
"Model 10","10976","2"
"Model 9","3639","3"
"Actual","3331","1"
"Model 10","104","2"
"Model 10","2996","1"
"Model 10","9280","1"
"Model 10","14454","3"
"Model 10","9345","4"
"Actual","12839","3"
"Model 10","7588","1"
"Actual","5910","2"
"Model 10","2432","2"
"Model 10","5022","4"
"Model 10","4383","2"
"Model 10","4114","4"
"Model 10","12453","4"
"Model 10","9310","2"
"Model 10","771","2"
"Model 9","14124","3"
"Model 9","6662","4"
"Actual","10155","0"
"Model 10","11653","2"
"Model 9","7841","2"
"Model 10","7387","4"
"Actual","4318","2"
"Model 9","7445","4"
"Actual","3565","2"
"Actual","9201","4"
"Actual","8274","3"
"Model 10","13241","3"
"Actual","14753","3"
"Model 9","9605","2"
"Actual","13703","3"
"Model 10","883","4"
"Model 10","14448","4"
"Model 10","6428","3"
"Actual","12663","3"
"Model 9","5856","2"
"Actual","1506","2"
"Model 10","316","1"
"Model 10","14267","1"
"Model 10","1520","2"
"Actual","8856","0"
"Model 9","8493","3"
"Model 10","2732","3"
"Model 9","4970","2"
"Actual","5066","3"
"Model 10","3064","2"
"Model 9","7759","4"
"Model 9","4952","1"
"Model 9","13538","4"
"Model 10","8149","1"
"Model 10","2305","2"
"Actual","12064","3"
"Model 9","2780","4"
"Actual","7825","4"
"Actual","9705","1"
"Actual","5044","3"
"Model 10","5887","1"
"Model 10","7956","4"
"Model 9","618","3"
"Model 9","10159","3"
"Model 10","13727","2"
"Actual","2353","4"
"Model 10","2061","1"
"Model 9","14149","4"
"Model 9","11355","3"
"Actual","10811","3"
"Model 10","9982","3"
"Actual","7638","3"
"Model 10","8750","4"
"Model 10","10497","2"
"Actual","10803","2"
"Actual","13898","1"
"Actual","580","1"
"Actual","8514","4"
"Model 10","932","4"
"Actual","1247","4"
"Model 10","7130","3"
"Model 9","11041","4"
"Model 10","10215","1"
"Model 10","14704","1"
"Model 10","177","4"
"Model 9","3481","4"
"Model 9","14842","4"
"Model 10","8808","4"
"Actual","2951","1"
"Model 9","4036","2"
"Actual","5054","2"
"Actual","10235","2"
"Model 10","4511","3"
"Model 9","13869","3"
"Model 10","6856","4"
"Actual","973","4"
"Model 9","5083","1"
"Actual","13449","2"
"Model 9","12307","2"
"Model 9","2812","2"
"Actual","4357","2"
"Model 9","7696","2"
"Model 10","1475","3"
"Model 9","5049","3"
"Model 10","2820","2"
"Actual","13813","2"
"Actual","5291","2"
"Model 9","10228","1"
"Actual","4516","1"
"Model 9","14478","2"
"Actual","10512","3"
"Model 10","2990","3"
"Model 10","10776","4"
"Actual","6874","2"
"Actual","12339","1"
"Model 10","8177","4"
"Model 10","9706","1"
"Model 9","10859","2"
"Actual","2145","4"
"Actual","9572","2"
"Model 10","3449","2"
"Model 9","4079","3"
"Model 9","13031","3"
"Model 9","1967","2"
"Model 9","13503","2"
"Model 9","2230","3"
"Model 10","7106","2"
"Model 9","12017","2"
"Model 10","5132","4"
"Model 9","1524","3"
"Actual","9345","3"
"Actual","12322","4"
"Actual","4161","3"
"Actual","8351","4"
"Model 9","14094","3"
"Model 10","2275","1"
"Model 10","1227","4"
"Model 9","11811","4"
"Actual","3913","3"
"Model 9","81","1"
"Actual","10143","2"
"Model 9","5330","4"
"Model 9","13232","3"
"Model 9","858","4"
"Actual","9266","1"
"Model 9","14847","2"
"Model 10","2012","1"
"Model 9","12579","2"
"Actual","14387","1"
"Model 10","9414","1"
"Model 9","9515","2"
"Actual","3498","1"
"Model 10","10708","4"
"Actual","5193","0"
"Model 9","10155","4"
"Actual","13489","0"
"Model 9","313","4"
"Actual","8110","3"
"Model 10","8919","4"
"Model 10","10384","4"
"Model 10","4427","4"
"Model 9","14218","4"
"Model 9","13156","1"
"Actual","13560","4"
"Model 10","301","3"
"Actual","7438","3"
"Actual","38","1"
"Model 9","7039","2"
"Model 9","297","2"
"Model 10","5220","4"
"Actual","6946","3"
"Model 10","6054","4"
"Model 9","7983","4"
"Actual","5083","2"
"Model 9","1756","2"
"Actual","14300","4"
"Actual","9985","1"
"Model 9","5387","2"
"Actual","5144","2"
"Model 10","2987","4"
"Model 9","9706","1"
"Model 9","8564","4"
"Model 9","13619","4"
"Model 10","14866","1"
"Actual","5273","1"
"Model 10","8917","4"
"Actual","8253","4"
"Actual","4819","2"
"Model 9","11157","1"
"Model 9","5134","4"
"Model 10","9497","4"
"Model 10","12870","2"
"Model 10","12121","2"
"Model 10","415","1"
"Model 10","5645","4"
"Model 9","14672","4"
"Model 9","687","3"
"Actual","12459","3"
"Model 9","8629","4"
"Actual","6930","3"
"Model 9","9280","1"
"Model 9","1947","1"
"Model 10","12960","4"
"Model 9","3247","2"
"Model 9","4427","4"
"Model 9","8044","4"
"Model 10","970","1"
"Model 10","506","1"
"Actual","9306","4"
"Model 9","12256","4"
"Model 10","10794","1"
"Model 9","2856","4"
"Model 9","1662","3"
"Model 9","6441","4"
"Model 9","5529","2"
"Actual","14434","2"
"Model 10","8789","2"
"Model 9","1889","1"
"Model 10","3189","4"
"Model 9","516","2"
"Actual","14784","4"
"Model 10","364","4"
"Model 10","7028","1"
"Model 10","232","4"
"Actual","1377","4"
"Model 10","9094","4"
"Model 9","4008","1"
"Actual","9370","4"
"Model 10","4864","4"
"Model 9","6672","4"
"Actual","7696","2"
"Actual","4413","4"
"Actual","11835","2"
"Model 10","11455","4"
"Actual","12266","4"
"Model 9","7192","3"
"Model 10","5198","4"
"Model 9","13465","2"
"Actual","8009","3"
"Model 10","12064","3"
"Model 10","5012","2"
"Actual","11966","3"
"Actual","12870","3"
"Model 10","5053","1"
"Model 9","6557","4"
"Model 9","8906","3"
"Actual","11913","4"
"Actual","14429","1"
"Model 9","13164","1"
"Model 10","1518","4"
"Model 9","348","2"
"Model 9","10576","1"
"Model 10","4732","3"
"Actual","11340","1"
"Actual","11310","3"
"Model 10","11573","4"
"Actual","2465","1"
"Model 9","10312","2"
"Model 10","8867","4"
"Model 10","6753","3"
"Model 9","14423","2"
"Actual","9792","3"
"Model 9","6005","3"
"Actual","724","2"
"Model 10","859","4"
"Actual","825","3"
"Actual","5111","2"
"Model 10","12926","3"
"Model 9","3697","2"
"Model 9","11591","4"
"Model 10","13769","2"
"Model 9","3455","2"
"Model 9","12245","2"
"Model 9","537","4"
"Model 10","4180","4"
"Actual","3393","4"
"Model 10","9792","4"
"Model 10","14050","4"
"Model 9","3401","4"
"Model 10","3247","2"
"Model 9","7106","2"
"Model 9","343","4"
"Actual","7857","4"
"Model 9","9671","3"
"Actual","13379","3"
"Actual","2355","2"
"Model 9","10776","4"
"Model 10","2364","4"
"Model 10","5905","3"
"Model 9","10419","4"
"Model 9","3694","3"
"Actual","4429","4"
"Model 10","3072","4"
"Actual","2868","2"
"Model 10","14709","4"
"Model 10","1436","4"
"Model 9","644","3"
"Model 9","14260","2"
"Model 10","13723","1"
"Model 9","3648","1"
"Actual","5650","4"
"Model 10","5812","2"
"Model 10","8412","4"
"Model 9","11190","2"
"Actual","5531","2"
"Model 9","7415","1"
"Model 9","12613","4"
"Model 10","5041","3"
"Model 9","12549","1"
"Model 9","600","3"
"Model 10","12849","1"
"Model 9","1225","4"
"Model 9","724","4"
"Model 9","8253","4"
"Actual","2419","4"
"Model 9","3577","2"
"Actual","2581","0"
"Model 10","2456","2"
"Model 9","3010","1"
"Model 10","2591","4"
"Model 10","10829","4"
"Model 9","10691","4"
"Model 9","8181","3"
"Model 10","7921","3"
"Model 9","11531","2"
"Actual","1124","2"
"Actual","9763","3"
"Model 9","9422","4"
"Model 10","7371","4"
"Model 9","2027","4"
"Model 10","2144","1"
"Model 10","8351","4"
"Model 9","9668","2"
"Model 9","4140","2"
"Model 9","7921","3"
"Actual","1884","1"
"Model 9","13790","2"
"Actual","7306","4"
"Actual","9591","4"
"Model 9","335","4"
"Model 9","12948","2"
"Actual","11089","2"
"Model 10","4528","2"
"Model 9","1253","4"
"Model 9","12336","4"
"Model 10","13535","2"
"Model 10","8446","4"
"Model 10","3832","2"
"Actual","14108","3"
"Actual","14819","4"
"Model 9","8632","1"
"Model 10","1034","1"
"Model 10","9489","2"
"Model 9","2456","2"
"Model 9","4286","4"
"Actual","3455","1"
"Actual","11655","2"
"Model 9","14671","2"
"Model 10","10802","3"
"Model 9","1312","1"
"Model 10","2347","3"
"Model 10","10496","4"
"Model 10","249","3"
"Model 9","12783","2"
"Model 9","5372","4"
"Model 9","1898","3"
"Model 9","13198","4"
"Actual","7234","4"
"Actual","7175","2"
"Actual","7209","1"
"Model 9","10458","2"
"Model 10","10153","2"
"Actual","12142","3"
"Model 9","12203","1"
"Model 9","13995","1"
"Actual","7547","2"
"Model 10","4111","4"
"Model 10","2819","3"
"Model 10","14235","1"
"Model 9","1371","4"
"Model 9","913","4"
"Actual","14941","4"
"Actual","14204","3"
"Model 10","11174","1"
"Model 9","1988","2"
"Actual","12371","2"
"Model 10","613","3"
"Model 9","14286","2"
"Actual","7378","2"
"Actual","7024","4"
"Model 10","5481","4"
"Model 9","5913","4"
"Actual","1910","2"
"Model 9","11756","2"
"Model 9","5461","1"
"Model 9","14866","4"
"Actual","6481","4"
"Actual","4240","3"
"Model 9","10484","2"
"Actual","1984","1"
"Actual","5820","4"
"Actual","8420","1"
"Model 9","1156","1"
"Model 10","3675","3"
"Model 9","14628","2"
"Model 9","2465","3"
"Model 10","348","1"
"Actual","14202","4"
"Model 10","3249","4"
"Model 9","4643","4"
"Model 10","8413","1"
"Model 9","12358","2"
"Model 10","10237","3"
"Actual","3292","4"
"Model 9","14888","4"
"Actual","1094","4"
"Actual","1293","3"
"Actual","423","3"
"Model 9","10556","4"
"Model 10","484","1"
"Model 9","11287","4"
"Model 9","11340","3"
"Model 10","8114","1"
"Actual","12158","4"
"Model 9","153","2"
"Model 9","12808","4"
"Actual","10864","4"
"Actual","14531","4"
"Model 10","5583","4"
"Model 9","10560","2"
"Model 10","3616","3"
"Actual","6840","4"
"Actual","11263","1"
"Model 9","11114","3"
"Model 9","2732","3"
"Model 10","1242","2"
"Actual","11699","4"
"Model 9","6099","4"
"Model 9","12367","4"
"Actual","11266","4"
"Actual","1030","2"
"Model 9","3568","2"
"Model 9","3894","4"
"Model 10","161","3"
"Actual","13782","1"
"Actual","12548","3"
"Actual","13397","4"
"Model 10","4645","2"
"Actual","9256","1"
"Actual","9450","4"
"Actual","8178","1"
"Actual","9627","1"
"Model 10","4490","2"
"Model 9","2987","4"
"Model 9","4429","4"
"Model 9","14466","2"
"Model 9","12624","3"
"Actual","12005","4"
"Model 9","7353","2"
"Actual","11449","2"
"Model 9","9692","2"
"Actual","11415","4"
"Model 10","2519","2"
"Model 9","3600","4"
"Actual","1628","2"
"Model 10","8483","1"
"Model 9","10084","2"
"Actual","13524","2"
"Actual","12011","3"
"Model 10","2247","4"
"Model 9","4894","4"
"Model 9","6617","4"
"Model 10","6095","3"
"Model 9","1005","1"
"Model 10","423","3"
"Model 10","4396","2"
"Model 10","11970","3"
"Model 9","7958","1"
"Model 10","8599","1"
"Model 9","13606","3"
"Model 10","9729","4"
"Model 9","13535","2"
"Actual","7509","4"
"Model 10","14715","2"
"Actual","2277","3"
"Actual","4844","2"
"Actual","10108","2"
"Model 9","1936","2"
"Actual","1545","2"
"Model 9","8114","1"
"Model 10","8108","2"
"Model 9","9191","1"
"Model 9","2537","2"
"Model 9","13489","1"
"Model 10","6887","2"
"Model 10","1984","1"
"Actual","9568","3"
"Model 9","6054","4"
"Model 10","2863","1"
"Model 9","8067","4"
"Actual","10425","1"
"Actual","14352","3"
"Model 10","1574","4"
"Model 10","11048","4"
"Model 10","3983","4"
"Model 9","11747","1"
"Actual","1253","2"
"Model 9","1251","2"
"Model 10","7345","1"
"Model 9","1984","1"
"Model 9","13888","3"
"Model 9","5350","1"
"Model 9","10588","1"
"Model 9","91","1"
"Model 10","14761","4"
"Model 10","4610","2"
"Actual","6982","4"
"Actual","8560","3"
"Actual","12927","2"
"Model 10","1225","4"
"Model 10","5049","3"
"Model 10","9762","1"
"Model 10","7163","2"
"Model 9","7234","4"
"Model 10","13038","1"
"Actual","4642","4"
"Model 9","9918","4"
"Model 9","11159","2"
"Actual","9136","3"
"Model 10","6433","2"
"Actual","12299","3"
"Actual","6799","3"
"Model 10","4760","4"
"Model 9","6560","4"
"Model 10","7736","4"
"Model 9","3917","4"
"Model 9","13447","2"
"Model 9","5500","4"
"Actual","12593","3"
"Model 10","9956","3"
"Model 10","3780","4"
"Model 10","12003","2"
"Model 9","11757","4"
"Model 10","9955","2"
"Actual","14243","4"
"Model 10","6803","4"
"Model 9","13225","1"
"Actual","7485","0"
"Actual","13961","2"
"Model 9","2204","1"
"Model 10","5837","4"
"Model 9","6112","4"
"Model 9","7275","1"
"Actual","10346","2"
"Model 10","6567","2"
"Actual","4864","2"
"Actual","11483","3"
"Actual","3264","3"
"Actual","3004","3"
"Model 10","8540","1"
"Model 10","11944","3"
"Model 9","296","4"
"Actual","13956","1"
"Model 9","7163","2"
"Model 10","6875","3"
"Model 9","8522","2"
"Model 9","11294","1"
"Model 9","1826","4"
"Model 9","6141","2"
"Model 10","3558","4"
"Actual","5589","4"
"Model 9","7930","2"
"Model 10","4036","1"
"Model 10","5910","2"
"Model 10","12944","4"
"Actual","12783","2"
"Actual","1661","2"
"Actual","6844","3"
"Model 9","13038","1"
"Model 9","14908","2"
"Model 9","11315","4"
"Actual","1433","4"
"Model 9","10382","3"
"Model 10","13463","4"
"Model 10","6466","2"
"Model 9","13853","4"
"Actual","14862","2"
"Model 10","8130","2"
"Actual","9915","0"
"Model 10","3042","1"
"Actual","5728","3"
"Actual","11147","2"
"Actual","14077","4"
"Model 10","12221","1"
"Model 10","4494","2"
"Actual","2158","4"
"Model 9","14595","4"
"Actual","1029","2"
"Actual","2793","1"
"Actual","4166","3"
"Model 10","5218","2"
"Actual","14247","2"
"Actual","11564","3"
"Model 9","4528","2"
"Model 10","3834","4"
"Model 10","7529","4"
"Model 9","12652","1"
"Model 9","14946","4"
"Model 9","11637","4"
"Actual","14935","2"
"Model 10","9796","4"
"Model 9","1869","2"
"Model 9","6803","1"
"Model 10","7160","2"
"Model 10","12163","2"
"Actual","9910","4"
"Model 9","12886","4"
"Actual","13561","1"
"Model 10","14847","4"
"Model 10","1830","3"
"Model 10","14260","1"
"Actual","5679","1"
"Model 9","9215","3"
"Actual","1336","2"
"Model 10","10557","2"
"Model 10","13941","2"
"Model 9","9875","2"
"Actual","5245","4"
"Actual","14292","1"
"Actual","8639","1"
"Model 10","3991","2"
"Model 10","11018","2"
"Actual","11708","1"
"Model 9","5313","3"
"Model 9","2349","2"
"Actual","4283","4"
"Model 9","232","4"
"Model 9","8515","1"
"Actual","11455","4"
"Actual","9368","2"
"Actual","856","2"
"Actual","218","1"
"Model 10","8504","3"
"Model 9","6982","4"
"Model 10","13560","4"
"Model 10","7154","2"
"Actual","8750","4"
"Model 9","8867","4"
"Actual","12273","4"
"Model 10","5873","3"
"Model 10","4288","2"
"Model 9","11564","2"
"Model 10","4614","2"
"Model 9","13428","3"
"Actual","351","4"
"Actual","7384","2"
"Model 10","17","4"
"Model 9","11191","1"
"Actual","7580","1"
"Model 10","12872","1"
"Model 10","12065","2"
"Model 10","8067","4"
"Actual","12341","4"
"Actual","6775","4"
"Actual","13146","1"
"Model 10","4473","1"
"Model 9","13952","4"
"Actual","6875","3"
"Model 9","9063","2"
"Model 9","8260","1"
"Actual","13296","4"
"Actual","9421","4"
"Model 9","12180","4"
"Model 10","5707","3"
"Model 10","2958","4"
"Model 9","13926","4"
"Model 10","12519","1"
"Model 9","8178","1"
"Model 9","10179","4"
"Model 9","10775","3"
"Model 9","11253","1"
"Model 10","1288","4"
"Model 10","14430","4"
"Actual","5696","3"
"Model 9","13504","4"
"Model 9","6208","1"
"Model 10","7524","4"
"Actual","10564","2"
"Model 10","1310","2"
"Model 10","4581","1"
"Model 10","876","3"
"Actual","10386","4"
"Actual","13706","1"
"Model 9","946","2"
"Model 10","14522","4"
"Actual","7224","1"
"Model 10","7364","4"
"Model 9","9545","3"
"Actual","1023","2"
"Model 10","5264","3"
"Model 9","6661","4"
"Model 10","9355","3"
"Model 9","2087","3"
"Model 10","12336","3"
"Model 10","2603","2"
"Model 9","1010","4"
"Actual","13619","4"
"Actual","10553","3"
"Model 10","384","1"
"Model 9","7024","3"
"Model 10","8635","2"
"Model 10","1818","0"
"Actual","10163","2"
"Model 9","7292","1"
"Model 9","10250","2"
"Actual","10000","2"
"Model 10","535","1"
"Model 10","10248","3"
"Actual","14130","4"
"Model 9","6096","1"
"Model 9","12843","4"
"Actual","11001","4"
"Actual","9355","2"
"Actual","394","1"
"Actual","3399","3"
"Model 10","7800","4"
"Model 9","5906","1"
"Actual","4137","3"
"Model 9","10153","3"
"Model 9","12552","4"
"Model 9","2666","2"
"Actual","4737","4"
"Model 9","3342","1"
"Actual","8654","3"
"Actual","4017","2"
"Actual","5749","1"
"Model 10","4240","3"
"Actual","714","3"
"Actual","13294","4"
"Actual","10429","1"
"Actual","7390","4"
"Actual","8781","3"
"Model 9","9317","4"
"Model 10","5633","3"
"Actual","10243","4"
"Actual","4398","4"
"Model 9","11574","2"
"Actual","7949","3"
"Model 10","6000","2"
"Model 9","6537","4"
"Model 9","11421","3"
"Model 9","4938","4"
"Model 10","4479","3"
"Model 10","3582","4"
"Model 9","7935","3"
"Actual","13667","2"
"Model 9","1932","2"
"Model 9","9015","4"
"Actual","6338","4"
"Model 9","14011","3"
"Model 9","13475","3"
"Model 10","13190","2"
"Model 9","2790","3"
"Actual","268","2"
"Actual","1899","2"
"Model 10","13452","4"
"Model 9","12568","1"
"Actual","8032","2"
"Model 9","6954","1"
"Model 9","2331","2"
"Model 9","6965","1"
"Model 9","7028","1"
"Actual","9925","4"
"Model 9","3023","1"
"Model 9","11339","4"
"Actual","9651","1"
"Model 10","1178","4"
"Model 10","9281","4"
"Actual","1715","2"
"Actual","8231","1"
"Model 9","2863","4"
"Model 9","13413","4"
"Model 10","7400","1"
"Model 9","4280","4"
"Model 10","6886","4"
"Model 9","8957","2"
"Model 9","6635","2"
"Actual","9971","3"
"Actual","14149","3"
"Actual","9226","4"
"Actual","691","3"
"Actual","10539","1"
"Actual","1175","3"
"Model 10","1756","2"
"Model 9","7137","2"
"Actual","44","4"
"Model 9","10476","3"
"Model 9","9540","1"
"Model 10","689","3"
"Model 9","10976","2"
"Actual","13310","3"
"Model 10","1325","3"
"Model 10","9540","1"
"Model 9","2932","4"
"Model 9","1499","1"
"Model 9","11672","4"
"Model 10","12783","2"
"Model 9","11869","2"
"Actual","3042","2"
"Actual","9309","2"
"Model 9","306","2"
"Actual","11659","4"
"Model 10","12687","4"
"Model 10","9295","2"
"Model 9","98","3"
"Model 9","3072","2"
"Model 9","13522","2"
"Model 10","4696","3"
"Actual","7670","3"
"Actual","7043","2"
"Model 10","5246","4"
"Model 9","4856","2"
"Actual","3911","4"
"Model 9","13265","1"
"Actual","8375","2"
"Model 10","2186","1"
"Model 9","8664","1"
"Actual","12288","1"
"Model 10","7485","2"
"Model 9","12268","2"
"Actual","2206","4"
"Model 9","9266","1"
"Model 10","8274","1"
"Model 9","899","4"
"Model 10","10476","4"
"Model 10","2745","1"
"Model 10","5772","4"
"Model 9","2285","2"
"Model 9","12889","3"
"Model 10","6161","2"
"Model 10","3191","4"
"Model 10","12873","1"
"Model 10","9102","1"
"Actual","146","3"
"Model 10","12598","4"
"Model 10","11211","2"
"Model 10","6141","2"
"Actual","12972","1"
"Model 9","8517","4"
"Model 10","1113","4"
"Model 9","14749","3"
"Model 10","153","2"
"Model 9","6252","4"
"Actual","8421","3"
"Actual","12911","1"
"Model 9","8599","1"
"Model 10","627","4"
"Actual","14201","4"
"Model 10","7834","2"
"Model 10","11887","4"
"Actual","10828","4"
"Model 9","970","1"
"Actual","12044","1"
"Model 9","12663","4"
"Model 10","13287","2"
"Actual","12813","2"
"Model 9","5633","3"
"Actual","14671","2"
"Actual","13752","2"
"Model 9","1739","4"
"Actual","1325","4"
"Model 10","13292","3"
"Model 10","14381","2"
"Actual","12113","2"
"Actual","9946","2"
"Actual","7529","3"
"Actual","2011","1"
"Model 10","8629","4"
"Model 9","11597","3"
"Actual","6479","2"
"Model 10","4523","2"
"Model 10","10277","1"
"Model 10","13331","2"
"Model 9","5343","2"
"Actual","1988","1"
"Model 10","4847","4"
"Model 10","5044","4"
"Actual","2666","0"
"Model 9","1661","4"
"Model 10","2210","2"
"Actual","4614","1"
"Actual","4580","2"
"Model 10","14590","4"
"Model 9","5044","4"
"Model 10","8120","3"
"Actual","7749","1"
"Model 9","1159","1"
"Actual","4067","3"
"Model 9","13957","3"
"Actual","7285","2"
"Actual","14761","0"
"Model 9","4642","4"
"Model 9","2403","3"
"Model 10","7873","4"
"Model 9","8104","1"
"Actual","8808","4"
"Model 10","9873","1"
"Actual","10478","2"
"Model 9","2432","4"
"Model 10","4399","2"
"Model 10","12707","3"
"Model 9","1429","1"
"Model 9","5307","2"
"Model 9","13703","2"
"Actual","13467","2"
"Model 10","201","4"
"Model 10","8032","2"
"Model 9","9500","4"
"Model 9","13148","1"
"Model 9","3616","3"
"Model 9","7388","4"
"Model 9","3038","4"
"Model 9","3991","2"
"Model 9","13234","2"
"Model 10","5590","2"
"Actual","8196","1"
"Actual","5190","4"
"Model 9","9639","4"
"Model 10","9450","1"
"Model 9","2896","2"
"Model 9","12642","4"
"Model 10","14903","3"
"Actual","91","4"
"Actual","2090","4"
"Actual","13652","2"
"Model 9","3544","2"
"Model 10","3543","2"
"Model 10","12972","1"
"Actual","11414","3"
"Model 10","12154","4"
"Model 9","6776","4"
"Actual","10876","3"
"Model 9","4544","4"
"Model 10","3010","1"
"Actual","6141","2"
"Model 10","10149","3"
"Model 9","5930","1"
"Actual","9429","3"
"Model 9","394","4"
"Actual","14148","3"
"Model 10","13495","2"
"Model 9","2030","4"
"Model 10","7395","1"
"Model 9","6950","1"
"Model 10","1626","2"
"Model 10","11185","3"
"Actual","7986","4"
"Model 10","10138","2"
"Model 9","1562","3"
"Model 9","4469","1"
"Model 10","7039","2"
"Actual","11018","2"
"Model 10","5461","3"
"Model 9","254","2"
"Model 10","13584","1"
"Model 9","13667","3"
"Actual","11226","4"
"Model 10","447","1"
"Model 9","12944","4"
"Model 10","6537","4"
"Model 10","9398","4"
"Model 10","5581","4"
"Model 9","13451","3"
"Actual","11551","3"
"Model 9","12536","4"
"Model 10","4518","2"
"Actual","14218","4"
"Model 10","6952","1"
"Model 9","10089","4"
"Model 9","9988","2"
"Model 10","735","2"
"Model 10","4077","3"
"Actual","9490","1"
"Actual","3543","2"
"Actual","5124","4"
"Actual","2787","2"
"Model 9","6811","4"
"Model 10","7276","2"
"Model 9","573","4"
"Model 10","10297","1"
"Actual","7546","4"
"Actual","13941","2"
"Actual","10153","2"
"Actual","5659","1"
"Actual","8027","2"
"Model 10","8215","4"
"Actual","5220","4"
"Actual","2401","2"
"Model 9","7362","3"
"Model 9","1545","1"
"Model 10","7666","2"
"Actual","8063","2"
"Actual","9175","4"
"Model 10","372","3"
"Actual","343","3"
"Actual","12715","3"
"Model 10","14086","3"
"Model 9","8120","3"
"Actual","7916","2"
"Model 9","128","4"
"Model 10","12180","4"
"Actual","484","4"
"Model 9","4921","1"
"Model 9","5526","4"
"Actual","11963","3"
"Model 10","11924","4"
"Model 10","5063","2"
"Model 9","6327","4"
"Actual","7266","3"
"Model 9","12140","3"
"Model 9","8063","1"
"Model 10","973","4"
"Model 10","946","2"
"Model 9","10421","2"
"Model 9","10734","2"
"Model 9","14066","2"
"Actual","1601","3"
"Model 9","12926","3"
"Model 9","12678","1"
"Actual","6933","4"
"Model 9","880","3"
"Model 10","5518","4"
"Model 10","12339","2"
"Actual","9878","3"
"Model 10","4171","2"
"Model 10","3427","1"
"Model 10","5235","4"
"Model 9","14877","4"
"Model 10","8001","2"
"Model 9","10811","1"
"Model 10","14610","2"
"Actual","2027","4"
"Actual","14814","4"
"Model 10","8910","2"
"Model 10","12113","3"
"Model 9","13515","4"
"Model 9","1818","1"
"Model 10","11299","4"
"Model 9","14699","3"
"Model 10","9427","4"
"Model 9","4227","1"
"Actual","7998","3"
"Actual","11871","2"
"Model 10","9821","1"
"Actual","6208","1"
"Model 10","14872","2"
"Model 9","9440","4"
"Model 9","13797","1"
"Actual","12265","4"
"Model 10","8225","1"
"Actual","70","4"
"Actual","1225","1"
"Model 9","5531","2"
"Model 10","5045","1"
"Model 9","3291","3"
"Model 10","4685","4"
"Model 10","6914","2"
"Model 10","2537","2"
"Model 9","8446","4"
"Actual","11388","4"
"Model 10","4226","2"
"Actual","6189","1"
"Actual","12140","3"
"Actual","12170","4"
"Actual","7091","1"
"Model 10","7285","2"
"Model 9","4696","3"
"Model 9","12265","1"
"Model 9","12400","4"
"Model 10","2896","3"
"Model 10","10529","1"
"Model 10","13267","1"
